City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
Richards Bay,-28.78,32.04,69.3,80,90,10.63,ZA,1587884166
Morondava,-20.28,44.28,80.26,72,31,4.7,MG,1587884166
Mataura,-46.19,168.86,59.0,59,95,14.0,NZ,1587884167
Sumbe,-11.21,13.84,76.98,80,62,2.73,AO,1587884167
Albany,42.6,-73.97,55.4,43,90,8.05,US,1587884167
Terrace,54.52,-128.6,42.8,87,75,17.22,CA,1587883924
Chui,-33.7,-53.46,64.65,87,100,9.71,UY,1587884167
Helena,46.59,-112.04,53.6,46,90,20.8,US,1587884167
Saint Anthony,45.02,-93.22,55.4,37,1,8.05,US,1587884168
Nishihara,26.18,127.76,60.8,93,75,24.16,JP,1587884096
Río Cuarto,-33.13,-64.35,57.2,100,90,13.87,AR,1587884168
Yuncheng,35.02,110.99,84.06,12,0,13.56,CN,1587883997
Cherskiy,68.75,161.3,23.54,94,54,1.63,RU,1587884168
Atuona,-9.8,-139.03,82.53,78,20,19.6,PF,1587884169
Lafia,8.48,8.52,77.97,81,100,2.55,NG,1587884169
Batemans Bay,-35.72,150.18,66.0,83,100,2.95,AU,1587884169
Makat,47.65,53.35,59.52,35,100,14.47,KZ,1587884169
Jacqueville,5.21,-4.41,82.4,88,40,6.93,CI,1587884170
Beringovskiy,63.05,179.32,22.39,96,70,4.23,RU,1587884170
Hilo,19.73,-155.09,75.2,69,40,4.7,US,1587884083
Codrington,-38.27,141.97,58.41,58,52,16.44,AU,1587884170
Lagoa,39.05,-27.98,55.87,71,100,17.67,PT,1587884170
Port Hedland,-20.32,118.57,105.8,15,12,11.41,AU,1587884171
Ambunti,-4.24,142.84,91.89,55,54,2.62,PG,1587884171
Xichang,27.9,102.26,70.0,30,96,3.78,CN,1587884171
Puerto Ayora,-0.74,-90.35,78.01,88,30,5.99,EC,1587884171
Inuvik,68.35,-133.72,8.6,50,5,6.93,CA,1587884047
Busselton,-33.65,115.33,75.0,39,4,7.76,AU,1587884171
Yellowknife,62.46,-114.35,5.0,65,75,11.41,CA,1587884172
Carutapera,-1.2,-46.02,77.52,83,90,4.47,BR,1587884172
Arraial do Cabo,-22.97,-42.03,74.3,81,0,15.95,BR,1587884172
Pisco,-13.7,-76.22,66.99,82,0,6.31,PE,1587884173
Tazmalt,36.39,4.4,57.2,93,40,5.82,DZ,1587884173
Eyl,7.98,49.82,85.15,66,100,5.99,SO,1587884173
Zhigansk,66.77,123.37,35.15,95,100,25.64,RU,1587884173
Airai,-8.93,125.41,70.99,51,65,4.36,TL,1587884173
Berlevåg,70.86,29.09,33.15,92,100,22.95,NO,1587884173
Aden,12.78,45.04,85.64,69,45,10.76,YE,1587884049
Coquimbo,-29.95,-71.34,55.4,82,14,5.82,CL,1587884174
Colesberg,-30.72,25.1,57.88,44,56,7.78,ZA,1587884174
Margate,51.38,1.39,51.01,72,0,1.99,GB,1587884174
Hermanus,-34.42,19.23,63.66,65,0,4.85,ZA,1587884174
Rocha,-34.48,-54.33,61.9,90,100,6.98,UY,1587884066
Isangel,-19.55,169.27,78.8,74,75,5.82,VU,1587884175
Buala,-8.14,159.59,85.59,70,82,6.13,SB,1587884175
Evensk,61.95,159.23,31.5,94,0,1.7,RU,1587884175
Grindavik,63.84,-22.43,39.2,85,75,9.17,IS,1587884175
Broome,42.25,-75.83,50.0,76,75,9.17,US,1587884175
Jacareacanga,-6.22,-57.75,73.83,94,100,1.16,BR,1587884176
Lamar,33.67,-95.58,57.2,67,1,3.36,US,1587884176
Biak,-0.91,122.88,78.48,78,100,12.46,ID,1587884176
Esperance,-33.87,121.9,69.8,46,75,8.05,AU,1587884176
Bengkulu,-3.8,102.27,85.28,72,87,5.03,ID,1587884048
Bathsheba,13.22,-59.52,78.8,69,40,17.22,BB,1587884177
Araouane,18.9,-3.53,81.39,17,37,11.9,ML,1587884177
Jablah,35.36,35.93,62.6,77,75,4.7,SY,1587884177
Ambulu,-8.35,113.61,84.45,74,82,13.15,ID,1587884177
Bilma,18.69,12.92,88.79,10,0,9.01,NE,1587884177
Alexandria,31.22,29.96,66.2,68,40,11.41,EG,1587883904
Pitimbu,-7.47,-34.81,75.2,100,75,6.93,BR,1587884178
Havre-St-Pierre,50.23,-63.6,30.2,50,1,3.36,CA,1587884178
Turmalina,-17.29,-42.73,63.97,76,74,4.0,BR,1587884178
Copperas Cove,31.12,-97.9,60.8,67,1,3.36,US,1587884178
Mar del Plata,-38.0,-57.56,57.99,76,40,11.41,AR,1587883986
Nicoya,10.15,-85.45,72.0,84,40,17.0,CR,1587884179
Kushiro,42.98,144.37,50.0,71,75,16.11,JP,1587884179
Nelspruit,-25.47,30.97,60.8,93,75,1.12,ZA,1587884179
Stornoway,58.21,-6.39,44.01,93,96,8.05,GB,1587884180
Port Macquarie,-31.43,152.92,80.01,68,48,7.2,AU,1587883943
Kahului,20.89,-156.47,73.4,69,20,11.41,US,1587884180
Hofn,64.25,-15.21,35.49,82,46,11.99,IS,1587884180
Naze,28.37,129.48,64.4,77,75,4.7,JP,1587884181
Sharjah city,25.36,55.4,98.6,13,0,2.24,AE,1587884181
Gewanē,10.17,40.65,86.85,40,43,8.72,ET,1587884181
Ilulissat,69.22,-51.1,41.0,44,79,10.29,GL,1587884130
Prado,-17.34,-39.22,75.69,84,40,16.84,BR,1587884182
Tasiilaq,65.61,-37.64,30.2,63,39,21.92,GL,1587884182
Nemuro,43.32,145.57,44.6,87,75,6.93,JP,1587884182
Palmer,42.16,-72.33,45.0,42,1,3.06,US,1587884182
New Norfolk,-42.78,147.06,55.0,54,11,3.0,AU,1587884182
Orán,-23.13,-64.33,71.91,81,23,2.08,AR,1587884183
Vila Franca do Campo,37.72,-25.43,55.4,62,75,6.93,PT,1587884183
Buchanan,5.88,-10.05,77.0,94,40,6.89,LR,1587884183
Carahue,-38.7,-73.17,51.8,93,43,5.82,CL,1587884183
Ulladulla,-35.35,150.47,68.0,56,40,19.46,AU,1587884183
Rio Branco,-9.97,-67.81,75.2,100,96,2.24,BR,1587884184
Bandarbeyla,9.49,50.81,84.61,67,92,7.16,SO,1587884184
Kaeo,-35.1,173.78,63.0,80,35,1.99,NZ,1587884184
Kavieng,-2.57,150.8,85.21,73,90,11.7,PG,1587884184
Hithadhoo,-0.6,73.08,85.12,71,89,9.15,MV,1587884184
Sampit,-2.53,112.95,82.98,79,96,1.52,ID,1587884185
Pangnirtung,66.15,-65.71,28.33,95,100,2.17,CA,1587884185
Itupiranga,-5.13,-49.33,77.0,100,40,2.13,BR,1587884185
Gizo Government Station,-8.1,156.84,85.6,67,69,2.33,SB,1587884185
Yangi Marg`ilon,40.43,71.72,78.8,34,60,4.7,UZ,1587884185
Penha,-26.77,-48.65,73.0,76,56,5.59,BR,1587884186
Batagay,67.63,134.63,38.41,70,59,9.48,RU,1587884186
Harrison,30.41,-89.04,69.8,56,1,9.17,US,1587884186
Husavik,66.04,-17.34,30.2,92,75,11.41,IS,1587884186
Rathdrum,47.81,-116.89,51.8,53,1,10.29,US,1587884186
Paita,-5.09,-81.11,72.48,73,13,11.3,PE,1587884187
Bethel,41.37,-73.41,46.99,49,75,4.14,US,1587884187
Muzaffarpur,26.12,85.4,73.4,94,75,6.93,IN,1587883991
San-Pédro,4.75,-6.64,79.21,88,91,6.82,CI,1587884187
Baykit,61.67,96.37,45.81,54,60,12.06,RU,1587884188
Olafsvik,64.89,-23.71,39.76,79,30,6.67,IS,1587884188
Hamilton,39.18,-84.53,53.6,100,90,10.29,US,1587884125
Ribeira Grande,38.52,-28.7,55.4,62,40,12.75,PT,1587884188
Laredo,27.51,-99.51,73.4,40,1,9.17,US,1587884189
Arrondissement de Vierzon,47.21,2.06,55.4,100,1,2.24,FR,1587884189
Qaanaaq,77.48,-69.36,24.42,86,100,0.69,GL,1587884189
Mīrābād,30.44,61.84,96.15,12,0,10.85,AF,1587884189
Cape Town,-33.93,18.42,63.0,82,0,1.12,ZA,1587884158
Birao,10.28,22.79,85.75,11,9,8.25,CF,1587884189
Reconquista,-29.15,-59.65,70.95,71,17,6.73,AR,1587884190
Dawei,14.08,98.2,90.82,53,27,9.1,MM,1587884190
Barreirinhas,-2.75,-42.83,77.74,83,93,3.69,BR,1587884190
Stupava,48.27,17.03,53.6,46,56,2.24,SK,1587884190
Boldumsaz,42.13,59.67,69.8,52,99,11.41,TM,1587884190
San Carlos,9.66,-68.58,77.13,71,68,3.58,VE,1587884137
College,64.86,-147.8,33.8,37,1,6.93,US,1587884191
Longyearbyen,78.22,15.64,17.6,67,0,5.82,SJ,1587884191
Sisimiut,66.94,-53.67,33.96,87,97,5.41,GL,1587884191
Doha,25.29,51.53,99.0,43,40,17.22,QA,1587884192
Aripuanã,-9.17,-60.63,73.51,94,100,1.68,BR,1587884192
Senneterre,48.38,-77.23,33.8,50,40,6.93,CA,1587884192
Aleksandrov Gay,50.15,48.57,57.72,40,4,10.13,RU,1587884192
Half Moon Bay,37.46,-122.43,61.0,93,90,8.05,US,1587884178
Chifeng,42.27,118.96,55.27,27,68,11.72,CN,1587884192
Cutervo,-6.38,-78.82,49.37,50,64,1.43,PE,1587884193
Ouahigouya,13.58,-2.42,85.75,15,96,10.16,BF,1587884193
Avtury,43.16,46.0,53.6,71,75,4.47,RU,1587884193
Tagusao,9.19,117.81,86.76,70,93,12.44,PH,1587884193
Nouadhibou,20.93,-17.03,62.6,72,0,18.34,MR,1587884193
Prince Rupert,54.32,-130.32,46.4,81,90,13.87,CA,1587884194
Luganville,-15.53,167.17,82.4,78,75,5.82,VU,1587884194
Mariehamn,60.1,19.93,42.8,56,53,11.41,AX,1587884194
Meulaboh,4.14,96.13,83.5,78,98,7.52,ID,1587884194
Benguela,-12.58,13.41,78.8,88,40,1.81,AO,1587884194
Nipawin,53.37,-104.0,44.6,75,1,14.99,CA,1587884195
Mareeba,-17.0,145.43,77.0,83,36,5.99,AU,1587884195
Rajshahi,24.37,88.6,87.51,52,53,7.36,BD,1587884086
La Santisima Trinidad,-14.83,-64.9,74.7,82,29,0.31,BO,1587884195
Ilhabela,-23.78,-45.36,71.74,76,0,6.71,BR,1587884195
Portland,45.52,-122.68,51.01,76,1,0.18,US,1587884040
Fortuna,40.6,-124.16,55.0,100,90,4.7,US,1587884196
Nouakchott,18.09,-15.98,66.2,59,69,12.75,MR,1587884196
Chimbote,-9.09,-78.58,67.8,86,0,5.44,PE,1587884196
Laguna,38.42,-121.42,68.0,63,1,3.36,US,1587884196
Saint-Joseph,-21.37,55.62,82.4,78,0,4.7,RE,1587884196
Hambantota,6.12,81.12,91.4,66,75,4.09,LK,1587884197
Yangshe,31.89,120.61,80.01,36,14,3.0,CN,1587884197
Abbeville,50.1,1.83,46.0,72,0,3.24,FR,1587884197
Zhalantun,48.0,122.72,51.28,40,81,7.45,CN,1587884197
Itarema,-2.92,-39.92,75.54,88,100,3.31,BR,1587884198
Bowen,-20.02,148.23,81.0,65,1,14.99,AU,1587884198
Geraldton,-28.77,114.6,78.8,50,63,20.8,AU,1587884198
Cheney,47.49,-117.58,55.4,37,90,10.29,US,1587883970
Kumul,42.8,93.45,84.06,5,0,4.76,CN,1587884198
Teshie,5.58,-0.11,80.4,83,83,10.76,GH,1587884198
Santa Cruz de la Sierra,-17.8,-63.17,75.2,94,75,2.24,BO,1587884199
Challans,46.84,-1.87,53.01,91,22,6.08,FR,1587884199
Rome,43.21,-75.46,51.8,50,90,5.82,US,1587884099
Carnarvon,-24.87,113.63,83.53,46,80,16.53,AU,1587884199
Göksun,38.02,36.5,59.0,54,0,6.93,TR,1587884200
Ponta Delgada,37.73,-25.67,55.4,62,75,6.93,PT,1587884200
Chokurdakh,70.63,147.92,29.46,96,51,12.62,RU,1587884081
Ambovombe,-25.17,46.08,75.31,69,19,11.52,MG,1587884200
Kalabo,-14.97,22.68,66.61,47,14,4.52,ZM,1587884200
Strezhevoy,60.73,77.59,55.4,51,96,26.84,RU,1587884201
Lamu,-2.27,40.9,83.3,76,96,12.03,KE,1587884201
Upernavik,72.79,-56.15,31.57,90,75,9.86,GL,1587884202
Jiangyou,31.77,104.72,80.38,20,99,5.99,CN,1587884202
Gaza,31.5,34.47,68.0,48,40,9.17,PS,1587883980
Dwārka,22.24,68.97,81.75,85,0,10.25,IN,1587884203
Gari,59.43,62.35,46.26,62,32,9.22,RU,1587884203
Mana,5.66,-53.78,76.53,91,97,8.7,GF,1587884204
Faanui,-16.48,-151.75,82.94,70,4,7.99,PF,1587884204
Comodoro Rivadavia,-45.87,-67.5,50.0,81,75,6.93,AR,1587883921
Padang,-0.95,100.35,84.94,62,100,2.21,ID,1587883999
Businga,3.33,20.88,77.09,77,59,1.01,CD,1587884204
Riyadh,24.69,46.72,93.2,15,39,12.75,SA,1587884203
Paracatu,-17.22,-46.87,62.82,75,9,3.31,BR,1587884205
Souillac,-20.52,57.52,82.4,78,20,4.7,MU,1587884205
Poum,-20.23,164.02,76.91,70,76,16.98,NC,1587884205
Havelock,34.88,-76.9,62.6,88,90,6.93,US,1587884205
Chicama,-7.84,-79.15,71.11,71,18,6.11,PE,1587884205
Zarubino,42.63,131.09,44.83,64,35,5.93,RU,1587884206
Mossamedes,-15.2,12.15,72.18,67,0,11.81,AO,1587884206
Cidreira,-30.18,-50.21,70.16,72,80,6.38,BR,1587884206
Qaqortoq,60.72,-46.03,30.2,80,53,5.48,GL,1587884206
Sur,22.57,59.53,94.77,29,4,3.98,OM,1587884206
Bagru,26.81,75.54,93.2,26,0,6.93,IN,1587884207
Antipino,57.11,65.76,62.6,46,97,13.42,RU,1587884207
Morón,-34.65,-58.62,63.0,93,20,8.05,AR,1587884060
Cervo,43.67,-7.41,54.0,1,100,4.65,ES,1587884207
Young,-32.68,-57.63,64.99,94,100,1.99,UY,1587884208
Petropavlovsk-Kamchatskiy,53.05,158.65,50.0,31,20,11.18,RU,1587884005
Islamkot,24.7,70.18,100.4,25,0,14.5,PK,1587884208
Pacific Grove,36.62,-121.92,57.99,82,1,10.29,US,1587884208
Ponta do Sol,32.67,-17.1,62.6,67,20,4.7,PT,1587884208
Dombarovskiy,50.76,59.54,55.72,34,67,14.56,RU,1587884209
Hirara,24.8,125.28,68.0,94,75,20.8,JP,1587884209
Halifax,44.65,-63.57,39.2,48,20,5.82,CA,1587884023
Omboué,-1.57,9.26,76.24,91,99,3.65,GA,1587884209
Avera,33.19,-82.53,66.2,77,1,6.93,US,1587884209
Lebu,-37.62,-73.65,53.82,90,22,7.83,CL,1587884210
Porirua,-41.13,174.85,60.8,77,48,18.34,NZ,1587884210
Sainte-Martine,45.25,-73.8,44.01,48,40,11.41,CA,1587884210
Reitz,-27.8,28.43,53.64,49,35,10.16,ZA,1587884210
Ancud,-41.87,-73.82,51.8,100,86,4.7,CL,1587884075
Port Lincoln,-34.73,135.87,62.04,60,12,10.87,AU,1587884211
Abu Dhabi,24.47,54.37,105.8,27,0,12.75,AE,1587884211
Bosaso,11.28,49.18,87.6,61,17,5.61,SO,1587884211
Narsaq,60.92,-46.05,30.2,80,82,4.47,GL,1587884211
Haines Junction,60.75,-137.51,26.38,81,98,5.28,CA,1587884211
Shahrud,36.42,54.98,70.43,25,100,4.38,IR,1587884211
João Câmara,-5.54,-35.82,75.2,100,40,3.36,BR,1587884212
Voyvozh,62.89,54.96,31.6,89,97,7.43,RU,1587884212
Almaznyy,48.04,40.05,59.0,47,2,6.71,RU,1587884212
Iqaluit,63.75,-68.51,19.4,85,75,3.36,CA,1587884213
Igarka,67.47,86.58,31.78,96,23,14.16,RU,1587884213
Bereket,39.24,55.52,83.48,31,70,9.22,TM,1587884213
Tuam,53.52,-8.85,48.0,99,90,5.01,IE,1587884213
Arman',59.7,150.17,35.06,84,51,3.29,RU,1587884213
Salé,34.04,-6.82,57.0,100,40,9.17,MA,1587883933
Sabana de Torres,7.39,-73.5,74.7,87,95,0.76,CO,1587884214
Katobu,-4.94,122.53,84.69,71,98,2.73,ID,1587884214
Guerrero Negro,27.98,-114.06,67.57,65,0,12.15,MX,1587884098
Port Elizabeth,-33.92,25.57,64.4,77,20,18.34,ZA,1587884214
Baculin,7.45,126.58,82.76,79,94,7.18,PH,1587884215
Trincomalee,8.57,81.23,91.8,54,82,5.95,LK,1587884215
Majene,-3.54,118.97,84.97,62,100,3.38,ID,1587884215
Sabang,5.89,95.32,84.38,68,89,1.72,ID,1587884215
Kandé,9.96,1.04,75.2,73,20,6.93,TG,1587884215
Tanete,-3.94,119.78,80.82,80,100,6.62,ID,1587884216
Andros Town,24.7,-77.77,80.6,88,73,8.05,BS,1587884216
Seoul,37.57,126.98,66.2,22,1,6.93,KR,1587884070
Champerico,14.3,-91.92,82.92,71,46,5.41,GT,1587884216
Cap Malheureux,-19.98,57.61,84.0,78,0,3.0,MU,1587884216
West Bay,19.37,-81.42,82.0,75,9,1.99,KY,1587884216
Luan,46.36,6.98,57.2,76,75,2.24,CH,1587884217
Smithers,54.78,-127.17,42.8,60,90,10.29,CA,1587884217
Muisne,0.6,-80.03,77.13,84,85,7.87,EC,1587884217
Zhongshu,24.52,103.77,63.23,30,99,5.06,CN,1587884217
Kaoma,-14.78,24.8,65.12,49,25,4.65,ZM,1587884217
Bodden Town,19.28,-81.25,82.0,76,4,5.99,KY,1587884218
Tazovsky,67.47,78.7,26.55,96,1,10.74,RU,1587884218
Seguin,29.57,-97.96,63.0,67,1,6.93,US,1587884218
Peniche,39.36,-9.38,55.0,89,76,3.0,PT,1587884218
Ouargaye,11.5,0.06,87.53,45,63,10.96,BF,1587884218
Korla,41.76,86.15,77.13,11,0,1.7,CN,1587884219
Oddur,4.12,43.89,81.79,56,70,11.43,SO,1587884219
Shelburne,44.08,-80.2,45.0,59,1,6.85,CA,1587884219
Vung Tau,10.35,107.08,89.74,58,56,18.39,VN,1587884219
Balaipungut,1.05,101.28,91.4,59,75,3.56,ID,1587884219
Tūkrah,32.53,20.58,64.96,51,51,3.53,LY,1587884220
Barra de Tecoanapa,16.52,-98.75,75.54,67,93,3.67,MX,1587884220
Maceió,-9.67,-35.74,75.2,100,75,6.93,BR,1587884004
Puerto Ayacucho,5.66,-67.62,76.66,82,89,3.44,VE,1587884220
Gijang,35.24,129.21,68.0,20,36,6.93,KR,1587884221
Gorom-Gorom,14.44,-0.24,84.6,16,44,11.36,BF,1587884221
Guánica,17.97,-66.91,78.01,65,0,1.01,PR,1587884221
Mahébourg,-20.41,57.7,82.4,78,20,4.7,MU,1587884221
Dromolaxia,34.88,33.59,68.0,68,20,4.7,CY,1587884222
Laas,46.62,10.7,41.0,93,40,3.36,IT,1587884222
Pavlovo,55.97,43.09,39.2,86,90,4.47,RU,1587884160
Talnakh,69.49,88.4,30.2,74,40,15.66,RU,1587884222
Ipixuna,-1.76,-48.8,77.0,94,75,6.93,BR,1587884222
Makakilo City,21.35,-158.09,75.2,73,20,4.7,US,1587884223
Verkhoyansk,67.54,133.38,38.46,76,73,9.51,RU,1587884223
Altay,47.87,88.12,74.17,12,42,7.43,CN,1587884223
Sitka,57.05,-135.33,46.4,70,75,9.17,US,1587884223
Biłgoraj,50.54,22.72,48.99,62,27,5.01,PL,1587884223
Vardø,70.37,31.11,33.91,87,100,26.49,NO,1587884224
Taltal,-25.4,-70.48,62.1,68,0,3.36,CL,1587884224
Porto Walter,-8.27,-72.74,73.0,89,50,1.9,BR,1587884224
Victor Harbor,-35.57,138.62,62.01,66,38,1.99,AU,1587884224
Port Blair,11.67,92.75,86.4,70,77,6.76,IN,1587883934
Wawa,9.9,4.42,80.64,57,100,8.99,NG,1587884224
Harnai,30.1,67.94,87.39,13,0,6.91,PK,1587884225
Idrinskoye,54.37,92.14,55.54,59,100,4.12,RU,1587884225
Diplo,24.47,69.58,100.65,25,0,15.77,PK,1587884225
Adolfo López Mateos,28.47,-107.3,55.99,39,2,5.01,MX,1587884225
Westport,41.14,-73.36,48.2,81,1,5.82,US,1587884225
Lerwick,60.15,-1.15,44.6,93,97,1.12,GB,1587884226
Belsand,26.45,85.4,92.21,33,51,14.5,IN,1587884226
Nome,64.5,-165.41,33.8,74,1,8.05,US,1587884226
Fenoarivo,-18.93,47.44,71.6,73,40,3.36,MG,1587884226
Zuwārah,32.93,12.08,70.27,55,5,11.25,LY,1587884226
Wanning,18.8,110.4,78.46,73,62,10.2,CN,1587884227
Walvis Bay,-22.96,14.51,55.0,93,90,3.36,NA,1587884227
Upington,-28.45,21.26,60.8,77,1,2.24,ZA,1587884227
Bārmer,25.75,71.38,97.11,22,0,8.14,IN,1587884227
Coyhaique,-45.58,-72.07,45.16,74,100,2.24,CL,1587884227
São Filipe,14.9,-24.5,70.74,77,43,14.03,CV,1587884228
Ostrovnoy,68.05,39.51,31.78,95,96,11.61,RU,1587884228
Sirte,31.21,16.59,69.53,51,73,21.09,LY,1587884228
Balakhta,55.38,91.6,57.2,51,100,1.34,RU,1587884228
Ternate,0.8,127.4,83.73,76,94,1.66,ID,1587884228
Tayu,-6.54,111.05,87.12,63,100,9.31,ID,1587884229
Huntsville,34.73,-86.59,55.4,66,75,12.75,US,1587884229
Kichera,55.94,110.1,55.08,40,99,5.88,RU,1587884229
Norman Wells,65.28,-126.83,3.2,65,5,2.24,CA,1587884229
Tadine,-21.55,167.88,74.46,75,73,16.58,NC,1587884229
